Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Chris Sale,8,SP,11500,BOS,TB,66%,3.67,7.5,0.327,24.1%,4.00,28.8%,2.97,3.11,L,0.222,0.281,-2%,0%,-2%,28.5,28.5,28.5,26.9,30.1,23.7,2.1,38.1,3.3
Jake Arrieta,2,SP,10700,CHC,PIT,70%,3.88,6,0.318,20.8%,3.11,25.8%,3.30,3.11,R,0.250,0.241,1%,-1%,-8%,28.0,28.0,28.0,24.2,31.9,17.1,1.6,13.2,1.2
Jacob deGrom,11,SP,10600,NYM,@MIA,53%,3.61,5.5,0.300,22.5%,5.22,25.7%,3.28,3.15,R,0.282,0.261,1%,0%,0%,17.2,17.2,17.2,8.0,26.4,20.2,1.9,34.8,3.3
Lance McCullers,4,SP,10400,HOU,@OAK,59%,3.37,6.5,0.323,19.7%,3.80,27.2%,3.49,3.22,R,0.288,0.316,2%,0%,0%,25.7,25.7,25.7,25.1,26.3,19.1,1.8,6.3,0.6
Corey Kluber,1,SP,10200,CLE,DET,60%,3.55,7,0.317,18.1%,4.11,26.8%,3.26,3.30,R,0.310,0.253,-2%,-1%,-2%,11.7,11.7,11.7,9.4,14.0,17.8,1.7,16.3,1.6
Kenta Maeda,7,SP,10000,LAD,ARI,63%,3.23,5.5,0.305,24.3%,5.50,24.8%,3.71,3.73,R,0.326,0.249,3%,1%,-1%,11.1,11.1,11.1,7.4,14.7,19.0,1.9,8.0,0.8
James Paxton,13,SP,9600,SEA,TEX,62%,3.26,6,0.328,20.0%,6.00,21.4%,3.84,3.70,L,0.345,0.285,2%,2%,0%,26.9,26.9,26.9,19.5,34.3,17.3,1.8,38.2,4.0
Carlos Martinez,2,SP,9100,STL,@NYY,56%,3.95,5,0.318,19.5%,4.89,23.0%,3.68,3.55,R,0.328,0.267,-2%,2%,0%,18.1,18.1,18.1,-4.9,41.1,17.1,1.9,22.8,2.5
Matt Shoemaker,2,SP,8900,LAA,@KC,53%,4.33,4.5,0.313,20.3%,3.00,20.6%,3.96,4.06,R,0.310,0.313,-6%,0%,0%,2.7,2.7,2.7,-9.1,14.5,14.7,1.7,17.8,2.0
Justin Verlander,4,SP,8500,DET,@CLE,40%,4.45,6,0.333,17.4%,3.89,25.8%,3.58,3.89,R,0.285,0.315,-5%,-1%,-2%,25.1,25.1,25.1,18.9,31.3,15.8,1.9,-8.2,-1.0
