"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Max Scherzer",13,"SP",13000,"WAS","CHC","62%",3.26,9.5,0.313,"24.0%",4.67,"31.9%",2.81,3.12,"R",0.302,0.21,"0%","0%","0%",38.7,30.8,30.8,20.2,41.4,31.1,2.4,25.7,2
"Carlos Martinez",4,"SP",11300,"STL","@ARI","52%",4.43,7,0.307,"23.1%",5.26,"23.9%",3.71,3.54,"R",0.328,0.252,"-6%","0%","0%",28.1,23.3,23.3,12.2,34.3,20.7,1.8,24.7,2.2
"Luis Severino",8,"SP",10100,"NYY","@CWS","56%",3.72,6.5,0.311,"23.9%",4.55,"23.6%",3.74,3.61,"R",0.307,0.307,"1%","0%","0%",20,20.3,20.3,8.2,32.5,21.9,2.2,34.1,3.4
"James Paxton",11,"SP",8700,"SEA","PHI","64%",3.61,5.5,0.318,"20.0%",3.84,"22.8%",3.84,3.66,"L",0.327,0.293,"2%","0%","0%",10.1,18.5,18.5,4.8,32.1,16.1,1.9,23.6,2.7
"Dan Straily",2,"SP",8500,"MIA","NYM","60%",3.98,5,0.31,"20.7%",4.88,"21.7%",4.47,4.8,"R",0.289,0.324,"2%","0%","1%",20.1,17.3,17.3,5.5,29.1,16.6,2,11.7,1.4
"Justin Verlander",8,"SP",8400,"DET","KC","57%",4.33,5.5,0.32,"20.2%",3.95,"24.9%",3.84,4.13,"R",0.285,0.291,"0%","0%","0%",13.9,14.7,14.7,3.6,25.7,17.8,2.1,19.8,2.4
"Jeff Hoffman",6,"SP",8100,"COL","@SF","54%",4.07,NA,0.314,"19.6%",3.76,"20.3%",4.43,4.39,"R",0.288,0.365,"9%","1%","0%",17.6,18.2,18.2,0.8,35.7,15.5,1.9,17.6,2.2
"Jose Quintana",0,"SP",7900,"CWS","NYY","44%",4.28,5.5,0.327,"20.9%",5.59,"21.5%",3.9,3.85,"L",0.289,0.315,"1%","0%","0%",15.2,15.2,15.2,2.1,28.2,14.3,1.8,22.6,2.9
"Alex Cobb",1,"SP",7800,"TB","@PIT","51%",4.47,5,0.3,"19.9%",4.26,"16.2%",4.68,4.54,"R",0.304,0.338,"-1%","1%","-1%",11.9,13.4,13.4,3.9,22.9,14.3,1.8,24.2,3.1
"Kenta Maeda",6,"SP",7700,"LAD","LAA","67%",3.25,5,0.286,"20.0%",4.37,"25.0%",3.75,3.82,"R",0.319,0.259,"3%","0%","-1%",15.1,14.4,14.4,5.7,23.1,18.3,2.4,29.4,3.8
"Mike Fiers",1,"SP",7600,"HOU","OAK","60%",4.02,5,0.33,"21.1%",4.36,"21.0%",4.14,4.14,"R",0.296,0.347,"1%","0%","-3%",22.2,14,14,5.4,22.7,14.7,1.9,15.2,2
"Jake Arrieta",4,"SP",7500,"CHC","@WAS","38%",4.24,6,0.322,"22.2%",5.65,"25.4%",3.41,3.22,"R",0.258,0.255,"-1%","1%","0%",16.1,16.4,16.4,6.8,26.1,15.4,2.1,-0.2,0
"Taijuan Walker",4,"SP",7300,"ARI","STL","48%",4.57,NA,0.315,"25.0%",4.35,"21.7%",3.95,4.04,"R",0.313,0.322,"-2%","0%","0%",15.7,16.9,16.9,7.5,26.3,16.8,2.3,1.7,0.2
"Drew Pomeranz",6,"SP",7200,"BOS","MIN","65%",4.17,6,0.315,"24.5%",4.63,"25.5%",3.79,3.75,"L",0.283,0.299,"-2%","0%","-2%",16.4,16.2,16.2,5.3,27,19.1,2.7,26.9,3.7
"Aaron Nola",2,"SP",6900,"PHI","@SEA","36%",4.89,5,0.34,"20.8%",4.9,"23.4%",3.58,3.41,"R",0.33,0.283,"3%","-1%","0%",17,15.6,15.6,6.1,25,15.5,2.2,28.4,4.1
"Jhoulys Chacin",4,"SP",6800,"SD","ATL","52%",3.93,NA,0.304,"22.1%",4.69,"19.3%",4.35,4.2,"R",0.351,0.288,"2%","0%","0%",17.3,12.8,12.8,-1,26.7,16.5,2.4,14.9,2.2
"Sean Newcomb",7,"RP",6700,"ATL","@SD","48%",4.07,NA,0.295,"21.6%",3.61,"",NA,NA,"L",NA,NA,"2%","0%","0%",15.9,15.9,15.9,7.6,24.3,20,3,29.3,4.4
"Kevin Gausman",NA,"SP",6300,"BAL","@TOR","39%",5.59,4.5,0.335,"19.9%",4.32,"21.1%",4.1,4.09,"R",0.302,0.369,"-4%","1%","0%",7.7,6.9,6.9,-4.4,18.3,11.8,1.9,20.4,3.2
"Sean Manaea",1,"SP",6200,"OAK","@HOU","40%",4.98,5.5,0.341,"18.4%",5.51,"22.8%",3.98,3.92,"L",0.222,0.314,"1%","0%","-3%",21.3,17.5,17.5,8.2,26.9,13.2,2.1,13.6,2.2
"Mike Clevinger",2,"SP",5900,"CLE","TEX","61%",4.38,NA,0.327,"22.2%",5,"23.7%",4.62,4.64,"R",0.284,0.352,"-3%","0%","0%",12.1,15.8,15.8,6.9,24.8,13.2,2.2,27.1,4.6
