"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Dallas Keuchel",10,"SP",10500,"HOU","TB","67%",3.42,NA,0.308,"22.1%",4.59,"22.6%",3.25,3.06,"L",0.232,0.291,"1%","0%","0%",21.3,23.3,23.3,14.1,32.6,20.2,1.9,0,0
"Jake Arrieta",9,"SP",10300,"CHC","ARI","60%",3.58,5.5,0.326,"24.1%",5.03,"24.9%",3.51,3.32,"R",0.26,0.254,"1%","-1%","2%",19.3,16.3,16.3,6.5,26.1,18.3,1.8,0,0
"Ervin Santana",0,"SP",10200,"MIN","@SD","49%",4.29,NA,0.293,"24.9%",3.81,"19.0%",4.49,4.48,"R",0.311,0.302,"4%","-2%","0%",11.1,17.9,17.9,4.4,31.3,19.4,1.9,0,0
"Masahiro Tanaka",3,"SP",9200,"NYY","DET","71%",3.62,6,0.316,"21.9%",4.87,"22.5%",3.58,3.49,"R",0.293,0.297,"0%","-2%","0%",23.7,16.4,16.4,1.1,31.7,19.2,2.1,0,0
"Zack Godley",8,"SP",9200,"ARI","@CHC","40%",4.42,NA,0.321,"22.7%",4.65,"22.2%",3.89,3.73,"R",0.315,0.298,"4%","-1%","1%",20.7,20.1,20.1,13.9,26.2,16.9,1.8,0,0
"Jason Vargas",1,"SP",8000,"KC","@BAL","45%",5.28,NA,0.318,"22.8%",4.62,"17.1%",4.71,4.83,"L",0.32,0.291,"2%","-1%","-1%",8.2,16.5,16.5,5.5,27.4,12.9,1.6,0,0
"J.A. Happ",4,"SP",7800,"TOR","@CWS","66%",4.31,5,0.308,"20.0%",4.36,"20.7%",4.11,4,"L",0.312,0.305,"3%","-2%","0%",9.3,13.8,13.8,4.3,23.3,15,1.9,0,0
"Rick Porcello",1,"SP",7700,"BOS","CLE","51%",4.68,5,0.329,"18.0%",4.87,"20.7%",3.86,3.95,"R",0.315,0.319,"-4%","-1%","-3%",18.3,14.9,14.9,7,22.8,13.6,1.8,0,0
"J.C. Ramirez",8,"SP",7200,"LAA","PHI","65%",3.72,NA,0.318,"21.0%",4.09,"17.9%",4.29,4.35,"R",0.331,0.313,"2%","-1%","0%",13.6,13.6,13.6,4.7,22.4,14.5,2,0,0
"Trevor Bauer",NA,"SP",6900,"CLE","@BOS","49%",4.82,5,0.33,"17.9%",4.66,"22.6%",4.18,4.1,"R",0.319,0.318,"-4%","-1%","-3%",13.7,14.7,14.7,3,26.5,11.8,1.7,0,0
"Luis Perdomo",2,"SP",6900,"SD","MIN","51%",4.21,NA,0.299,"25.3%",4.55,"16.5%",4.07,4.01,"R",0.373,0.34,"2%","-2%","0%",8,10.7,10.7,0.3,21.1,14,2,0,0
"A.J. Cole",0,"SP",6600,"WAS","@MIA","50%",4.73,NA,0.307,"21.5%",4.72,"21.2%",4.35,4.88,"R",NA,NA,"5%","0%","1%",13.5,13.5,13.5,13.5,13.5,12.9,2,0,0
