Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jake Arrieta,11,,SP,10400,CHC,@STL,56%,3.22,6.5,0.323,21.0%,4.00,25.6%,3.31,3.11,R,0.250,0.242,1%,3%,0%,0.0,0.0,0.0,0.0,0.0,18.6,1.8,25.3,2.4
Johnny Cueto,13,,SP,10200,SF,@ARI,56%,4.16,6,0.303,24.8%,6.00,21.4%,3.71,3.60,R,0.268,0.281,-5%,1%,0%,0.0,0.0,0.0,0.0,0.0,20.1,2.0,12.5,1.2
Kenta Maeda,19,,SP,9600,LAD,SD,67%,3.02,5.5,0.295,22.5%,,25.0%,3.69,3.70,R,0.313,0.253,3%,1%,0%,0.0,0.0,0.0,0.0,0.0,18.6,1.9,8.4,0.9
Lance McCullers,13,,SP,9500,HOU,SEA,60%,3.77,6.5,0.324,19.3%,,27.0%,3.60,3.32,R,0.287,0.320,1%,0%,-2%,0.0,0.0,0.0,0.0,0.0,17.7,1.9,25.3,2.7
Carlos Carrasco,10,,SP,8800,CLE,@TEX,61%,3.96,6.5,0.326,23.6%,,27.5%,3.05,2.95,R,0.293,0.278,-1%,1%,0%,0.0,0.0,0.0,0.0,0.0,20.9,2.4,22.4,2.5
Matt Shoemaker,8,,SP,8400,LAA,@OAK,53%,3.63,4.5,0.318,19.5%,,20.9%,3.92,4.00,R,0.307,0.311,2%,1%,0%,0.0,0.0,0.0,0.0,0.0,16.3,1.9,11.1,1.3
Jake Odorizzi,4,,SP,7800,TB,NYY,50%,3.75,5,0.321,20.4%,3.00,21.5%,4.06,4.22,R,0.280,0.332,2%,0%,0%,0.0,0.0,0.0,0.0,0.0,15.6,2.0,8.1,1.0
Hisashi Iwakuma,,,SP,7700,SEA,@HOU,40%,4.73,5,0.332,19.1%,,19.1%,4.03,3.96,R,0.298,0.294,0%,-1%,-3%,0.0,0.0,0.0,0.0,0.0,12.3,1.6,9.3,1.2
Sean Manaea,5,,SP,7400,OAK,LAA,47%,3.87,4,0.325,19.8%,,20.9%,4.04,3.96,L,,0.322,2%,1%,0%,0.0,0.0,0.0,0.0,0.0,14.9,2.0,8.7,1.2
Adam Wainwright,1,,SP,7300,STL,CHC,43%,3.78,5,0.316,26.2%,3.00,18.9%,4.22,3.95,R,0.303,0.275,1%,4%,0%,0.0,0.0,0.0,0.0,0.0,17.7,2.4,16.3,2.2
CC Sabathia,1,,SP,6900,NYY,@TB,50%,3.75,5,0.326,24.5%,7.00,19.3%,4.22,4.16,L,0.276,0.350,4%,0%,0%,0.0,0.0,0.0,0.0,0.0,16.3,2.4,16.3,2.4
Zach Davies,1,,SP,6500,MIL,COL,50%,4.00,4.5,0.315,22.0%,,19.4%,4.11,3.95,R,0.312,0.303,0%,6%,0%,0.0,0.0,0.0,0.0,0.0,15.6,2.4,-8.8,-1.4
Tyler Anderson,9,,SP,5900,COL,@MIL,50%,4.00,5.5,0.314,28.2%,,20.7%,3.84,3.64,L,,0.333,7%,4%,0%,0.0,0.0,0.0,0.0,0.0,19.6,3.3,16.6,2.8
Martin Perez,,,SP,5700,TEX,CLE,39%,5.04,3.5,0.344,16.5%,,12.7%,4.82,4.55,L,0.282,0.339,-5%,3%,0%,0.0,0.0,0.0,0.0,0.0,8.9,1.6,10.1,1.8
Clayton Richard,2,,SP,5200,SD,@LAD,33%,4.48,3.5,0.325,22.7%,,12.9%,4.01,4.03,L,0.275,0.346,8%,2%,0%,0.0,0.0,0.0,0.0,0.0,12.1,2.3,27.8,5.3
Patrick Corbin,0,,SP,5000,ARI,SF,43%,4.84,4,0.314,20.1%,5.00,19.8%,4.05,3.89,L,0.280,0.355,-4%,2%,0%,0.0,0.0,0.0,0.0,0.0,12.3,2.5,1.6,0.3
