"VBR","Player","Team","Positions","Opp","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","Own"
" ","Aaron Cunningham","CHC","LF","LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Aaron Hill","SF","2B,3B","ARI","0.36","0.04","0.01","0.05","0.01",".304",".365","0.11","0.02","0","0.03","0.07",""
" ","Adam Lind","WSH","1B","STL","0.33","0.04","0.01","0.05","0",".288",".325","0.1","0.02","0","0.02","0.07",""
" ","Adam Rosales","OAK","2B,3B,SS","@KC","0.45","0.06","0.02","0.06","0.01",".245",".319","0.11","0.02","0","0.05","0.19",""
" ","Adrian Gonzalez","LAD","1B","@CHC","2.67","0.22","0.05","0.35","0",".272",".317","0.73","0.11","0","0.17","0.69",""
" ","Alcides Escobar","KC","SS","OAK","3.8","0.35","0.03","0.36","0.11",".281",".315","1.07","0.16","0.04","0.17","0.58",""
" ","Alejandro De Aza","OAK","LF,CF,RF","@KC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Alex Avila","DET","C","BOS","0.63","0.04","0.03","0.05","0",".212",".328","0.13","0.02","0","0.11","0.41",""
" ","Alex Gordon","KC","LF","OAK","4.23","0.67","0.16","0.44","0.07",".218",".320","0.92","0.16","0.03","0.56","1.37",""
" ","Allen Craig","BOS","1B,LF,RF","@DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Andre Ethier","LAD","LF","@CHC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Andres Blanco","PHI","1B,2B,3B,SS","NYM","0.28","0.03","0.01","0.03","0",".249",".304","0.07","0.02","0","0.02","0.07",""
" ","Andrew McCutchen","PIT","CF,RF","CIN","3.83","0.44","0.23","0.56","0.08",".227",".349","0.87","0.11","0.04","0.68","0.88",""
" ","Asdrubal Cabrera","NYM","SS","@PHI","4.32","0.53","0.25","0.54","0.05",".293",".340","1.27","0.28","0.03","0.28","0.8",""
" ","Austin Romine","NYY","C","TB","3.64","0.43","0.08","0.58","0.03",".205",".250","0.75","0.21","0","0.21","0.9",""
" ","Ben Zobrist","CHC","2B,LF,RF","LAD","3.73","0.57","0.09","0.38","0.04",".298",".380","1.11","0.19","0.02","0.48","0.89",""
" ","Bobby Wilson","LAD","C","@CHC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brad Davis","DET","C","BOS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Allen","CIN","1B,LF","@PIT","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Belt","SF","1B","ARI","3.87","0.56","0.16","0.52","0.06",".224",".323","0.87","0.23","0.05","0.54","1.18",""
" ","Brayan Pena","KC","C","OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brendan Ryan","DET","SS","BOS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brett Gardner","NYY","LF","TB","4.08","0.67","0.07","0.31","0.14",".267",".363","1.09","0.18","0.03","0.59","0.74",""
" ","Brian McCann","HOU","C,DH","@SEA","3.6","0.33","0.09","0.4","0.01",".262",".334","0.94","0.07","0.01","0.35","0.69",""
" ","Brooks Conrad","KC","2B,1B","OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Bryan Anderson","OAK","C","@KC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Buster Posey","SF","C,1B","ARI","3.9","0.49","0.1","0.62","0.06",".298",".354","1.16","0.26","0.02","0.33","0.48",""
" ","Carlos Beltran","HOU","RF,DH","@SEA","4.19","0.42","0.08","0.61","0.01",".326",".359","1.36","0.26","0","0.21","0.87",""
