"VBR","Player","Team","Positions","Opp","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","Own"
" ","A.J. Ellis","MIA","C","@SEA","4.5","0.34","0.08","0.34","0.04",".236",".323","1.06","0.15","0","0.56","0.87",""
" ","Aaron Cunningham","CHC","LF","MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Adam Moore","CLE","C","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Adam Rosales","OAK","2B,3B,SS","TEX","2.93","0.38","0.15","0.4","0.05",".202",".296","0.59","0.13","0.02","0.37","1.08",""
" ","Adrian Beltre","TEX","3B","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Adrian Gonzalez","LAD","1B","ARI","2.97","0.3","0.07","0.37","0",".271",".316","0.81","0.11","0","0.18","0.91",""
" ","Albert Pujols","LAA","1B,DH","@HOU","3.68","0.43","0.21","0.72","0.03",".265",".331","0.97","0.13","0.01","0.35","0.48",""
" ","Alejandro De Aza","OAK","LF,CF,RF","TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Allen Craig","BOS","1B,LF,RF","TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Andre Ethier","LAD","LF","ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Andrew McCutchen","PIT","CF,RF","@STL","3.77","0.57","0.15","0.49","0.04",".270",".354","1.02","0.2","0.02","0.45","0.92",""
" ","Angel Sanchez","CWS","2B,SS","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Austin Jackson","CLE","CF","@MIN","3.41","0.49","0.04","0.4","0.07",".322",".378","1.1","0.27","0.02","0.3","0.53",""
" ","Austin Romine","NYY","C","CWS","3.5","0.4","0.15","0.58","0.02",".310",".340","1.09","0.25","0","0.16","0.42",""
" ","Ben Revere","LAA","LF,CF","@HOU","3.42","0.36","0.01","0.22","0.12",".212",".254","0.72","0.1","0.07","0.19","0.32",""
" ","Ben Zobrist","CHC","2B,LF,RF","MIL","4.05","0.62","0.18","0.67","0.06",".213",".322","0.86","0.16","0.02","0.64","0.52",""
" ","Bobby Wilson","LAD","C","ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Phillips","ATL","2B","SD","4.07","0.62","0.15","0.51","0.14",".339",".369","1.38","0.25","0.01","0.15","0.38",""
" ","Brent Lillibridge","TEX","2B,3B,SS","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
