"VBR","Player","Team","Positions","Opp","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","Own"
" ","Aaron Cunningham","CHC","LF","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Aaron Hill","SF","2B,3B","@ARI","0.09","0.01","0","0.01","0",".284",".342","0.03","0","0","0.01","0.01",""
" ","Adam Moore","CLE","C","@TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Adam Rosales","OAK","2B,3B,SS","LAA","0.09","0.01","0","0.01","0",".247",".292","0.02","0","0","0.01","0.05",""
" ","Adrian Beltre","TEX","3B","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Adrian Gonzalez","LAD","1B","SD","3.65","0.35","0.12","0.47","0",".271",".354","0.99","0.14","0","0.46","0.76",""
" ","Albert Pujols","LAA","1B,DH","@OAK","3.73","0.7","0.31","0.75","0.02",".372",".413","1.39","0.23","0.01","0.26","0.35",""
" ","Alejandro De Aza","OAK","LF,CF,RF","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Alex Avila","DET","C","@CWS","0.63","0.07","0.02","0.06","0",".196",".313","0.12","0.03","0","0.11","0.32",""
" ","Andre Ethier","LAD","LF","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Angel Sanchez","CWS","2B,SS","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Austin Jackson","CLE","CF","@TEX","0.09","0.01","0","0.01","0",".238",".302","0.02","0","0","0.01","0.02",""
" ","Austin Romine","NYY","C","@TB","0.09","0.01","0","0.02","0",".215",".254","0.02","0.01","0","0","0.02",""
" ","Ben Revere","LAA","LF,CF","@OAK","0.1","0.01","0","0.01","0.01",".278",".317","0.03","0","0","0.01","0.01",""
" ","Ben Zobrist","CHC","2B,LF,RF","@STL","3.61","0.63","0.09","0.58","0.04",".329",".409","1.19","0.17","0.03","0.48","0.44",""
" ","Bobby Wilson","LAD","C","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brad Davis","DET","C","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Belt","SF","1B","@ARI","3.57","0.53","0.15","0.55","0.03",".229",".344","0.82","0.14","0.06","0.61","1.4",""
" ","Brendan Ryan","DET","SS","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brent Lillibridge","TEX","2B,3B,SS","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brett Gardner","NYY","LF","@TB","3.87","0.54","0.08","0.31","0.14",".212",".292","0.82","0.18","0.04","0.41","1.04",""
" ","Brett Hayes","TEX","C","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brian McCann","HOU","C,DH","SEA","3.56","0.4","0.2","0.53","0.01",".238",".312","0.85","0.18","0.01","0.34","0.64",""
" ","Bryan Anderson","OAK","C","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Buster Posey","SF","C,1B","@ARI","3.74","0.8","0.14","0.46","0.03",".303",".366","1.13","0.28","0.03","0.37","0.41",""
" ","Cameron Maybin","LAA","CF","@OAK","3.69","0.74","0.1","0.35","0.08",".412",".466","1.52","0.27","0.05","0.37","0.44",""
" ","Carlos Beltran","HOU","RF,DH","SEA","3.67","0.37","0.2","0.67","0.01",".300",".328","1.1","0.31","0.01","0.15","0.66",""
" ","Carlos Gomez","TEX","LF,CF,RF","CLE","3.63","0.34","0.15","0.35","0.11",".197",".252","0.71","0.18","0.02","0.21","1.54",""
" ","Carlos Gonzalez","COL","RF","@MIL","3.91","0.49","0.28","0.53","0.02",".326",".368","1.28","0.26","0.01","0.26","0.8",""
" ","Carlos Ruiz","SEA","C","@HOU","0.09","0.01","0","0.01","0",".244",".343","0.02","0.01","0","0.01","0.02",""
" ","Carlos Santana","CLE","1B,DH","@TEX","3.61","0.43","0.1","0.46","0.03",".283",".364","1.02","0.11","0.02","0.46","0.4",""
" ","Casey McGehee","DET","3B","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chase Headley","NYY","3B","@TB","3.47","0.27","0.05","0.3","0.04",".219",".289","0.76","0.15","0.01","0.3","1.37",""
" ","Chase Utley","LAD","2B","SD","0.09","0.01","0","0.01","0",".210",".267","0.02","0","0","0.01","0.02",""
" ","Chris Carter","NYY","1B","@TB","0.09","0.01","0.01","0.01","0",".212",".278","0.02","0","0","0.01","0.04",""
" ","Chris Iannetta","ARI","C","SF","0.09","0.01","0","0.01","0",".179",".251","0.02","0","0","0.01","0.03",""
" ","Chris Nelson","COL","3B","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Cliff Pennington","LAA","2B,SS","@OAK","0.09","0.02","0","0.01","0",".320",".372","0.03","0","0","0.01","0.02",""
" ","Colby Rasmus","TB","LF,CF,RF","NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dan Johnson","TB","1B","NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Daniel Descalso","ARI","1B,2B,SS,LF","SF","0.09","0.01","0","0.01","0",".297",".364","0.03","0","0","0.01","0.02",""
" ","Danny Espinosa","LAA","SS","@OAK","3.41","0.56","0.2","0.46","0.04",".244",".317","0.83","0.2","0.01","0.29","0.74",""
" ","Danny Valencia","SEA","1B,3B,RF","@HOU","3.45","0.48","0.12","0.4","0.01",".303",".369","1.05","0.23","0.04","0.36","0.9",""
" ","Darin Mastroianni","TEX","CF,RF","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Darnell McDonald","CHC","LF,RF","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Denard Span","SF","CF","@ARI","3.5","0.31","0.04","0.28","0.11",".221",".282","0.77","0.12","0.05","0.29","0.78",""
" ","Dexter Fowler","STL","CF","CHC","3.78","0.52","0.09","0.43","0.16",".196",".314","0.74","0.18","0.03","0.61","1.49",""
" ","Domonic Brown","COL","RF,LF","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dustin Ackley","NYY","1B,2B,LF,CF,RF","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dusty Brown","OAK","C","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eduardo Nunez","SF","3B,SS","@ARI","3.71","0.7","0.14","0.54","0.18",".337",".359","1.25","0.25","0.06","0.12","0.43",""
" ","Edwin Encarnacion","CLE","1B,DH","@TEX","3.61","0.67","0.23","0.89","0.01",".248",".353","0.9","0.17","0.01","0.57","0.61",""
" ","Elvis Andrus","TEX","SS","CLE","4","0.39","0.06","0.34","0.18",".238",".288","0.95","0.19","0.05","0.27","0.64",""
" ","Eric Patterson","CWS","LF,CF","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Sogard","MIL","2B","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Thames","MIL","LF,RF","COL","3.65","0.59","0.22","0.62","0.08",".268",".343","0.98","0.21","0.02","0.38","1.03",""
" ","Eric Young","LAA","CF,DH","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Erick Aybar","SD","3B,SS","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Evan Longoria","TB","3B","NYY","3.82","0.46","0.13","0.51","0.01",".251",".315","0.96","0.22","0.02","0.34","0.86",""
" ","Everth Cabrera","CWS","SS","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Franklin Gutierrez","LAD","LF,RF","SD","0.09","0.01","0.01","0.02","0",".285",".364","0.03","0","0","0.01","0.03",""
" ","Gaby Sanchez","SEA","1B","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Geovany Soto","CWS","C","DET","0.69","0.09","0.03","0.06","0",".197",".255","0.14","0.02","0","0.05","0.2",""
" ","Gerardo Parra","COL","1B,LF,CF,RF","@MIL","3.94","0.36","0.12","0.41","0.05",".242",".265","0.95","0.29","0.02","0.11","0.71",""
" ","Greg Golson","MIL","RF,LF","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Greg Halman","SEA","LF,RF","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Gregor Blanco","ARI","LF,CF,RF","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
