"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Own"
" ","Adam Ottavino","COL","RP","@MIL","0.32","0.4","0.01","0.06","2.74","1.06","0.1","0.22","0.12","0.04","0","0","0.01","0",""
" ","Andrew Bailey","LAA","RP","@OAK","0.31","0.3","0.01","0.04","4.30","1.33","0.15","0.28","0.13","0.04","0","0","0.01","0",""
" ","Anibal Sanchez","DET","SP,RP","@CWS","0.65","0.61","0.03","0","4.52","1.28","0.33","0.64","0.2","0.11","0","0","0.03","0",""
" ","Blake Wood","CIN","RP","PHI","0.34","0.38","0.01","0","3.88","1.32","0.15","0.31","0.14","0.04","0","0","0.01","0",""
" ","Brad Ziegler","MIA","RP","@WSH","0.37","0.27","0.01","0.01","3.34","1.40","0.14","0.38","0.14","0.03","0","0","0.01","0",""
" ","Brandon McCarthy","LAD","SP,RP","SD","4.75","4.13","0.38","0","3.70","1.21","1.95","4.43","1.32","0.49","0","0","0.38","0",""
" ","Brett Cecil","STL","RP","CHC","0.29","0.35","0.02","0","3.08","1.22","0.1","0.25","0.1","0.03","0","0","0.01","0",""
" ","Bud Norris","LAA","SP,RP","@OAK","0.28","0.25","0.01","0","4.69","1.37","0.15","0.28","0.11","0.1","0","0","0.02","0",""
" ","Chaz Roe","ATL","RP","@NYM","0.29","0.31","0.01","0","3.27","1.24","0.11","0.23","0.13","0.04","0","0","0.01","0",""
" ","Chris Young","KC","SP,RP","@MIN","0.51","0.48","0.02","0","4.88","1.44","0.28","0.52","0.22","0.09","0","0","0.02","0",""
" ","Clay Buchholz","PHI","SP,RP","@CIN","5.92","5.52","0.24","0","4.29","1.31","2.82","5.87","1.9","0.94","0","0","0.47","0",""
" ","Craig Bres","MIN","RP","KC","0.26","0.18","0.01","0","4.77","1.53","0.14","0.31","0.09","0.04","0","0","0.01","0",""
" ","David Robertson","CWS","RP","DET","0.38","0.46","0.01","0.21","3.30","1.20","0.14","0.32","0.14","0.04","0","0","0.01","0",""
" ","Doug Fister","HOU","SP","SEA","0.82","0.5","0.03","0","4.59","1.40","0.42","0.91","0.23","0.14","0","0","0.07","0",""
" ","Drew Storen","CIN","RP","PHI","0.35","0.37","0.01","0.04","3.86","1.25","0.15","0.34","0.1","0.04","0","0","0.01","0",""
" ","Dustin McGowan","MIA","RP","@WSH","0.3","0.26","0.01","0","3.94","1.47","0.13","0.28","0.16","0.03","0","0","0.01","0",""
" ","Eric O'Flaherty","ATL","RP","@NYM","0.16","0.12","0.01","0","5.23","1.59","0.09","0.17","0.08","0.03","0","0","0.01","0",""
" ","Fernando Rodney","ARI","RP","SF","0.39","0.4","0.02","0.15","3.90","1.40","0.17","0.36","0.19","0.04","0","0","0.02","0",""
" ","Fernando Salas","NYM","RP","ATL","0.34","0.35","0.01","0","3.23","1.10","0.12","0.28","0.09","0.04","0","0","0.01","0",""
" ","Francisco Rodriguez","DET","RP","@CWS","0.38","0.39","0.01","0.2","3.39","1.10","0.14","0.31","0.11","0.06","0","0","0.01","0",""
" ","Gio Gonzalez","WSH","SP","MIA","5.07","4.31","0.31","0","3.96","1.40","2.23","5.24","1.84","0.5","0","0","0.2","0",""
" ","Greg Holland","COL","RP","@MIL","0.31","0.39","0.01","0.14","3.12","1.22","0.11","0.23","0.15","0.04","0","0","0.01","0",""
" ","J.P. Howell","TOR","RP","@TB","0.29","0.25","0.01","0","3.59","1.29","0.12","0.27","0.1","0.03","0","0","0.01","0",""
" ","Jaime Garcia","ATL","SP","@NYM","6.28","5.33","0.5","0","3.55","1.25","2.47","5.74","2.13","0.83","0","0","0.5","0",""
" ","Jake McGee","COL","RP","@MIL","0.32","0.35","0.01","0.01","3.36","1.21","0.12","0.28","0.1","0.05","0","0","0.01","0",""
" ","James Shields","CWS","SP","DET","6.31","5.12","0.25","0","4.69","1.40","3.29","6.64","2.18","0.94","0","0","0.51","0",""
" ","Jason Hammel","KC","SP","@MIN","6","5.47","0.24","0","4.63","1.35","3.09","6.18","1.9","0.9","0","0","0.48","0",""
" ","Javier Lopez","SF","RP","@ARI","0.14","0.1","0.01","0","4.23","1.45","0.07","0.14","0.06","0.01","0","0","0.01","0",""
" ","Jeanmar Gomez","PHI","RP","@CIN","0.4","0.32","0.02","0.12","4.54","1.44","0.2","0.45","0.13","0.07","0","0","0.02","0",""
" ","Jeff Samardzija","SF","SP","@ARI","6.48","5.59","0.52","0","4.25","1.28","3.06","6.61","1.68","0.72","0","0","0.26","0",""
" ","Jered Weaver","SD","SP","@LAD","5.94","4.17","0.25","0","4.93","1.43","3.25","6.37","2.13","1.11","0","0","0.49","0",""
" ","Jim Johnson","ATL","RP","@NYM","0.38","0.36","0.02","0.14","3.24","1.27","0.14","0.34","0.14","0.04","0","0","0.02","0",""
" ","Joakim Soria","KC","RP","@MIN","0.4","0.43","0.02","0.02","4.03","1.39","0.18","0.4","0.16","0.05","0","0","0.02","0",""
" ","Joaquin Benoit","PHI","RP","@CIN","0.32","0.39","0.01","0.02","3.36","1.20","0.12","0.25","0.13","0.05","0","0","0.01","0",""
" ","Joe Blanton","LAD","RP","SD","0.36","0.33","0.03","0.01","3.02","1.09","0.12","0.3","0.09","0.04","0","0","0.01","0",""
" ","Joe Smith","TOR","RP","@TB","0.31","0.28","0.01","0","3.63","1.24","0.13","0.29","0.09","0.03","0","0","0.01","0",""
" ","John Lackey","CHC","SP","@STL","6.45","5.66","0.42","0","3.69","1.25","2.64","6.23","1.84","0.62","0","0","0.26","0",""
" ","Tyler Skaggs","LAA","SP","@OAK","5.83","5.81","0.47","0","3.88","1.32","2.51","5.37","2.33","0.57","0","0","0.23","0",""
" ","Jonathan Broxton","STL","RP","CHC","0.34","0.31","0.01","0","3.88","1.34","0.15","0.3","0.15","0.04","0","0","0.01","0",""
" ","Jordan Lyles","COL","SP,RP","@MIL","0.32","0.24","0.01","0","4.58","1.42","0.16","0.33","0.13","0.07","0","0","0.03","0",""
" ","Kenley Jansen","LAD","RP","SD","0.38","0.51","0.01","0.26","2.18","0.86","0.09","0.25","0.08","0.03","0","0","0.01","0",""
" ","Koji Uehara","CHC","RP","@STL","0.28","0.32","0.02","0.01","2.96","1.09","0.09","0.23","0.08","0.03","0","0","0.01","0",""
" ","Kyle Gibson","MIN","SP","KC","6.27","4.35","0.26","0","4.63","1.48","3.23","7.3","1.98","0.67","0","0","0.52","0",""
" ","Lance Lynn","STL","SP","CHC","6.25","5.62","0.4","0","4.07","1.42","2.83","6.25","2.64","0.49","0","0","0.4","0",""
" ","Luke Gregerson","HOU","RP","SEA","0.38","0.37","0.03","0.03","3.03","1.10","0.13","0.31","0.11","0.04","0","0","0.01","0",""
" ","Marc Rzepczynski","SEA","RP","@HOU","0.23","0.21","0.01","0","4.11","1.46","0.1","0.23","0.11","0.03","0","0","0.01","0",""
" ","Mark Melancon","SF","RP","@ARI","0.4","0.38","0.02","0.25","3.11","1.13","0.14","0.37","0.09","0.03","0","0","0.02","0",""
" ","Matt Belisle","MIN","RP","KC","0.32","0.23","0.01","0","3.59","1.31","0.13","0.34","0.08","0.03","0","0","0.01","0",""
" ","Mike Dunn","COL","RP","@MIL","0.29","0.35","0.02","0","3.48","1.22","0.11","0.24","0.11","0.05","0","0","0.01","0",""
" ","Mike Minor","KC","SP,RP","@MIN","0.31","0.29","0.01","0","4.55","1.45","0.16","0.32","0.13","0.04","0","0","0.01","0",""
" ","Mike Montgomery","CHC","SP,RP","@STL","0.68","0.56","0.05","0","3.72","1.38","0.28","0.66","0.27","0.06","0","0","0.03","0",""
" ","Neftali Feliz","MIL","RP","COL","0.36","0.38","0.01","0.17","4.13","1.28","0.17","0.34","0.12","0.07","0","0","0.01","0",""
