"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Own"
" ","Adam Ottavino","COL","RP","@MIL","0.32","0.4","0.01","0.06","2.74","1.06","0.1","0.22","0.12","0.04","0","0","0.01","0",""
" ","Alex Cobb","TB","SP","NYY","5.63","4.51","0.23","0","3.98","1.31","2.49","5.5","1.9","0.58","0","0","0.23","0",""
" ","Andrew Bailey","LAA","RP","@OAK","0.31","0.3","0.01","0.04","4.28","1.32","0.15","0.28","0.13","0.04","0","0","0.01","0",""
" ","Andrew Miller","CLE","RP","@TEX","0.42","0.65","0.03","0.08","2.16","0.90","0.1","0.28","0.1","0.04","0","0","0.02","0",""
" ","Antonio Bastardo","PIT","RP","@BOS","0.34","0.37","0.01","0","4.39","1.35","0.17","0.31","0.15","0.04","0","0","0.01","0",""
" ","Aroldis Chapman","NYY","RP","@TB","0.4","0.7","0.01","0.22","2.30","1.02","0.1","0.25","0.16","0.03","0","0","0.01","0",""
" ","Bartolo Colon","ATL","SP","@NYM","5.89","4.08","0.25","0","3.85","1.24","2.52","6.09","1.22","0.99","0","0","0.49","0",""
" ","Blake Wood","CIN","RP","PHI","0.33","0.37","0.01","0","3.96","1.35","0.15","0.3","0.14","0.04","0","0","0.01","0",""
" ","Boone Logan","CLE","RP","@TEX","0.25","0.3","0.01","0","3.84","1.30","0.11","0.22","0.11","0.03","0","0","0.01","0",""
" ","Brad Ziegler","MIA","RP","@WSH","0.36","0.27","0.01","0.01","3.41","1.43","0.14","0.37","0.14","0.03","0","0","0.01","0",""
" ","Bud Norris","LAA","SP,RP","@OAK","0.28","0.24","0.01","0","4.66","1.36","0.14","0.27","0.11","0.1","0","0","0.02","0",""
" ","Charlie Morton","HOU","SP","SEA","5.42","4.52","0.43","0","4.13","1.33","2.49","5.36","1.84","0.62","0","0","0.43","0",""
" ","Chaz Roe","ATL","RP","@NYM","0.29","0.3","0.01","0","3.25","1.23","0.1","0.23","0.13","0.04","0","0","0.01","0",""
" ","Chris Sale","BOS","SP","PIT","7.37","7.39","0.57","0","3.44","1.16","2.82","7.03","1.54","0.61","0","0","0.28","0.28",""
" ","Chris Young","KC","SP,RP","@MIN","0.5","0.49","0.02","0","5.03","1.46","0.28","0.51","0.22","0.09","0","0","0.02","0",""
" ","Colby Lewis","TEX","SP","CLE","0.83","0.56","0.03","0","4.90","1.35","0.45","0.9","0.22","0.16","0","0","0.03","0",""
" ","Cole Hamels","TEX","SP","CLE","6.63","6.34","0.53","0","4.14","1.35","3.05","6.54","2.42","0.91","0","0","0.27","0",""
" ","Craig Bres","MIN","RP","KC","0.26","0.18","0.01","0","4.75","1.52","0.14","0.31","0.09","0.04","0","0","0.01","0",""
" ","Craig Kimbrel","BOS","RP","PIT","0.36","0.49","0.01","0.23","3.04","1.93","0.12","0.27","0.16","0.03","0","0","0.01","0",""
" ","Daniel Hudson","PIT","RP","@BOS","0.36","0.37","0.01","0.01","4.27","1.41","0.17","0.38","0.13","0.04","0","0","0.01","0",""
" ","Darren O'Day","BAL","RP","TOR","0.36","0.4","0.01","0.01","3.51","1.18","0.14","0.3","0.12","0.06","0","0","0.01","0",""
" ","Doug Fister","HOU","SP","SEA","0.81","0.5","0.03","0","4.62","1.41","0.42","0.91","0.23","0.14","0","0","0.07","0",""
" ","Drew Storen","CIN","RP","PHI","0.35","0.37","0.01","0.04","3.83","1.24","0.15","0.34","0.1","0.04","0","0","0.01","0",""
" ","Dustin McGowan","MIA","RP","@WSH","0.3","0.25","0.01","0","3.96","1.47","0.13","0.28","0.16","0.03","0","0","0.01","0",""
" ","Eric O'Flaherty","ATL","RP","@NYM","0.16","0.12","0.01","0","5.18","1.57","0.09","0.17","0.08","0.03","0","0","0.01","0",""
" ","Fernando Rodney","ARI","RP","SF","0.39","0.4","0.02","0.15","3.92","1.41","0.17","0.36","0.19","0.04","0","0","0.02","0",""
" ","Fernando Salas","NYM","RP","ATL","0.34","0.35","0.01","0","3.29","1.08","0.12","0.28","0.09","0.04","0","0","0.01","0",""
" ","Greg Holland","COL","RP","@MIL","0.31","0.38","0.01","0.14","3.12","1.21","0.11","0.23","0.15","0.04","0","0","0.01","0",""
" ","Ian Kennedy","KC","SP","@MIN","6.2","6.35","0.25","0","4.51","1.36","3.11","6.19","2.22","1.02","0","0","0.5","0",""
" ","J.A. Happ","TOR","SP","@BAL","6.31","5.53","0.5","0","4.20","1.31","2.95","6.4","1.89","1.03","0","0","0.25","0",""
" ","J.P. Howell","TOR","RP","@BAL","0.28","0.23","0.01","0","4.02","1.41","0.13","0.3","0.1","0.04","0","0","0.01","0",""
" ","Jake McGee","COL","RP","@MIL","0.32","0.35","0.01","0.01","3.36","1.21","0.12","0.28","0.1","0.05","0","0","0.01","0",""
" ","Jason Motte","COL","RP","@MIL","0.21","0.2","0.01","0","4.34","1.32","0.1","0.21","0.07","0.05","0","0","0.01","0",""
" ","Javier Lopez","SF","RP","@ARI","0.14","0.1","0.01","0","4.20","1.44","0.07","0.14","0.06","0.01","0","0","0.01","0",""
" ","Jeanmar Gomez","PHI","RP","@CIN","0.4","0.32","0.02","0.12","4.53","1.44","0.2","0.45","0.13","0.07","0","0","0.02","0",""
" ","Jeremy Jeffress","TEX","RP","CLE","0.37","0.3","0.01","0.01","3.90","1.41","0.16","0.39","0.14","0.04","0","0","0.01","0",""
" ","Jim Johnson","ATL","RP","@NYM","0.38","0.35","0.02","0.14","3.31","1.28","0.14","0.35","0.14","0.05","0","0","0.02","0",""
" ","Joakim Soria","KC","RP","@MIN","0.4","0.42","0.02","0.02","4.01","1.38","0.18","0.4","0.16","0.05","0","0","0.02","0",""
" ","Joaquin Benoit","PHI","RP","@CIN","0.31","0.39","0.01","0.02","3.46","1.24","0.12","0.25","0.14","0.05","0","0","0.01","0",""
" ","Joe Blanton","LAD","RP","SD","0.36","0.32","0.03","0.01","3.05","1.08","0.12","0.3","0.09","0.04","0","0","0.01","0",""
" ","Joe Smith","TOR","RP","@BAL","0.31","0.26","0.01","0","3.92","1.31","0.14","0.32","0.09","0.05","0","0","0.01","0",""
" ","John Axford","OAK","RP","LAA","0.34","0.3","0.01","0","4.06","1.49","0.15","0.33","0.18","0.03","0","0","0.01","0",""
" ","Jordan Lyles","COL","SP,RP","@MIL","0.32","0.23","0.01","0","4.44","1.42","0.16","0.33","0.13","0.06","0","0","0.03","0",""
" ","Kenley Jansen","LAD","RP","SD","0.38","0.51","0.01","0.25","2.20","0.87","0.09","0.25","0.08","0.03","0","0","0.01","0",""
" ","Luke Gregerson","HOU","RP","SEA","0.37","0.37","0.03","0.03","3.09","1.13","0.13","0.31","0.1","0.04","0","0","0.01","0",""
" ","Marc Rzepczynski","SEA","RP","@HOU","0.23","0.21","0.01","0","4.11","1.46","0.1","0.23","0.11","0.03","0","0","0.01","0",""
" ","Mark Melancon","SF","RP","@ARI","0.4","0.37","0.02","0.24","3.09","1.12","0.14","0.36","0.08","0.03","0","0","0.02","0",""
" ","Matt Belisle","MIN","RP","KC","0.32","0.22","0.01","0","3.62","1.31","0.13","0.34","0.08","0.03","0","0","0.01","0",""
" ","Matt Moore","SF","SP","@ARI","6.46","6.28","0.52","0","4.33","1.36","3.11","6.4","2.37","0.66","0","0","0.26","0",""
" ","Michael Pineda","NYY","SP","@TB","5.91","7.04","0.47","0","3.65","1.15","2.39","5.4","1.37","0.61","0","0","0.24","0",""
" ","Mike Dunn","COL","RP","@MIL","0.29","0.35","0.02","0","3.48","1.22","0.11","0.24","0.11","0.05","0","0","0.01","0",""
" ","Mike Minor","KC","SP,RP","@MIN","0.31","0.3","0.01","0","4.59","1.44","0.16","0.32","0.12","0.04","0","0","0.01","0",""
" ","Neftali Feliz","MIL","RP","COL","0.36","0.37","0.01","0.17","4.15","1.28","0.17","0.34","0.12","0.07","0","0","0.01","0",""
" ","Oliver Perez","WSH","RP","MIA","0.24","0.24","0.01","0","3.75","1.36","0.1","0.22","0.1","0.02","0","0","0.01","0",""
" ","Pat Neshek","PHI","RP","@CIN","0.3","0.32","0.01","0.01","3.74","1.14","0.12","0.26","0.08","0.06","0","0","0.01","0",""
" ","Peter Moylan","KC","RP","@MIN","0.22","0.19","0.01","0","4.19","1.40","0.1","0.23","0.08","0.03","0","0","0.01","0",""
" ","Justin Nicolino","MIA","SP,RP","@WSH","0.5","0.24","0.02","0","4.82","1.49","0.27","0.61","0.13","0.06","0","0","0.04","0",""
" ","Ryan Madson","OAK","RP","LAA","0.35","0.28","0.01","0.14","3.66","1.32","0.14","0.34","0.12","0.03","0","0","0.01","0",""
" ","Santiago Casilla","OAK","RP","LAA","0.35","0.3","0.01","0.04","3.41","1.24","0.13","0.3","0.13","0.04","0","0","0.01","0",""
" ","Sergio Romo","LAD","RP","SD","0.29","0.28","0.01","0.01","3.08","1.05","0.1","0.25","0.06","0.03","0","0","0.01","0",""
" ","Tommy Hunter","TB","RP","NYY","0.24","0.17","0.01","0","3.69","1.25","0.1","0.23","0.07","0.03","0","0","0.01","0",""
" ","Tony Sipp","HOU","RP","SEA","0.26","0.26","0.01","0","3.77","1.25","0.11","0.23","0.09","0.05","0","0","0.01","0",""
" ","Travis Wood","KC","RP","@MIN","0.32","0.32","0.01","0","5.05","1.54","0.18","0.34","0.16","0.06","0","0","0.01","0",""
" ","Trevor Cahill","SD","RP","@LAD","5","4.56","0.2","0","4.31","1.50","2.4","4.81","2.69","0.58","0","0","0.4","0",""
" ","Tyler Clippard","NYY","RP","@TB","0.38","0.43","0.03","0","3.72","1.17","0.16","0.3","0.15","0.05","0","0","0.01","0",""
" ","Wade LeBlanc","PIT","SP,RP","@BOS","0.35","0.3","0.01","0","4.24","1.32","0.16","0.37","0.09","0.04","0","0","0.01","0",""
" ","Wily Peralta","MIL","SP","COL","5.78","4.24","0.24","0","4.94","1.52","3.17","7.05","1.75","1.03","0","0","0.48","0",""
" ","Zach Britton","BAL","RP","TOR","0.42","0.43","0.02","0.2","2.14","1.07","0.1","0.32","0.13","0.03","0","0","0.02","0",""
" ","Dylan Bundy","BAL","SP,RP","TOR","5.48","4.96","0.44","0","4.56","1.37","2.78","5.41","2.1","0.85","0","0","0.44","0",""
" ","Oliver Drake","BAL","RP","TOR","0.29","0.33","0.02","0","3.89","1.32","0.13","0.24","0.14","0.04","0","0","0.01","0",""
" ","Junichi Tazawa","MIA","RP","@WSH","0.3","0.29","0.01","0","3.95","1.38","0.13","0.31","0.1","0.04","0","0","0.01","0",""
" ","Dellin Betances","NYY","RP","@TB","0.44","0.74","0.03","0.02","2.38","1.02","0.12","0.27","0.17","0.04","0","0","0.02","0",""
" ","George Kontos","SF","RP","@ARI","0.31","0.24","0.01","0","4.04","1.28","0.14","0.3","0.1","0.04","0","0","0.01","0",""
" ","David Phelps","MIA","SP,RP","@WSH","0.43","0.4","0.02","0","3.73","1.32","0.18","0.4","0.16","0.05","0","0","0.02","0",""
" ","Matt Bush","TEX","RP","CLE","0.41","0.4","0.03","0.02","3.60","1.18","0.16","0.36","0.12","0.05","0","0","0.02","0",""
" ","Alexander Colome","TB","RP","NYY","0.41","0.41","0.02","0.19","3.08","1.15","0.14","0.34","0.13","0.05","0","0","0.02","0",""
" ","Danny Farquhar","TB","RP","NYY","0.33","0.33","0.01","0","3.88","2.32","0.14","0.3","0.13","0.04","0","0","0.01","0",""
" ","Jhan Marinez","MIL","RP","COL","0.41","0.35","0.02","0","3.99","1.44","0.18","0.44","0.15","0.06","0","0","0.02","0",""
" ","Addison Reed","NYM","RP","ATL","0.41","0.45","0.02","0.03","2.75","1.08","0.13","0.33","0.11","0.04","0","0","0.02","0",""
