"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Own"
" ","Andrew Cashner","TEX","SP","KC","5.49","4","0.23","0","4.94","1.49","3.01","6.25","1.93","0.62","0","0","0.46","0",""
" ","Andrew Miller","CLE","RP","@MIN","0.43","0.65","0.03","0.06","1.95","0.91","0.09","0.29","0.1","0.04","0","0","0.02","0",""
" ","Anibal Sanchez","DET","SP,RP","@TB","0.51","0.46","0.02","0","5.50","1.42","0.31","0.54","0.18","0.08","0","0","0.02","0",""
" ","Blake Wood","CIN","RP","BAL","0.33","0.36","0.01","0","3.93","1.31","0.14","0.31","0.13","0.04","0","0","0.01","0",""
" ","Boone Logan","CLE","RP","@MIN","0.25","0.3","0.01","0","3.72","1.27","0.1","0.22","0.1","0.03","0","0","0.01","0",""
" ","Brett Cecil","STL","RP","@MIL","0.29","0.37","0.01","0","3.83","1.19","0.12","0.26","0.09","0.05","0","0","0.01","0",""
" ","Bud Norris","LAA","SP,RP","@HOU","0.11","0.11","0","0","4.11","1.32","0.05","0.11","0.03","0","0","0","0","0",""
" ","Chris Sale","BOS","SP","@TOR","7.37","7.66","0.57","0","3.23","1.05","2.64","6.09","1.68","1.07","0","0","0.28","0.28",""
" ","Chris Young","KC","SP,RP","@TEX","0.51","0.45","0.02","0","5.00","1.42","0.28","0.52","0.2","0.1","0","0","0.02","0",""
" ","Clayton Richard","SD","SP,RP","ARI","6","4","0.25","0","3.74","1.44","2.49","6.41","2.22","0.6","0","0","0.5","0",""
" ","Colby Lewis","TEX","SP","KC","0.82","0.52","0.03","0","4.65","1.31","0.42","0.89","0.18","0.16","0","0","0.07","0",""
" ","Craig Bres","MIN","RP","CLE","0.21","0.16","0.01","0","5.17","1.62","0.12","0.24","0.09","0.04","0","0","0.01","0",""
" ","Craig Kimbrel","BOS","RP","@TOR","0.36","0.5","0.01","0.24","2.83","1.10","0.11","0.23","0.16","0.04","0","0","0.01","0",""
" ","Craig Stammen","SD","RP","ARI","0.13","0.11","0.01","0","4.30","1.50","0.06","0.13","0.06","0.02","0","0","0.01","0",""
" ","Danny Duffy","KC","SP,RP","@TEX","6.45","6.31","0.52","0","3.79","1.26","2.72","6.11","1.97","0.91","0","0","0.26","0",""
" ","Darren O'Day","BAL","RP","@CIN","0.36","0.45","0.01","0.01","3.88","1.27","0.16","0.32","0.13","0.07","0","0","0.01","0",""
" ","Doug Fister","HOU","SP","LAA","0.8","0.45","0.03","0","4.78","1.43","0.42","0.89","0.25","0.14","0","0","0.03","0",""
" ","Drew Storen","CIN","RP","BAL","0.35","0.37","0.01","0.03","3.59","1.27","0.14","0.33","0.11","0.05","0","0","0.01","0",""
" ","Eric O'Flaherty","ATL","RP","WSH","0.18","0.14","0.01","0","5.27","1.55","0.11","0.19","0.08","0.02","0","0","0.01","0",""
" ","Ervin Santana","MIN","SP","CLE","6.36","5.09","0.51","0","4.01","1.30","2.84","6.18","2.1","0.87","0","0","0.25","0",""
" ","Fernando Abad","BOS","RP","@TOR","0.21","0.17","0.01","0","4.15","1.37","0.1","0.2","0.09","0.05","0","0","0.01","0",""
