"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Own"
" ","Adam Ottavino","COL","RP","@SF","0.35","0.42","0.01","0.07","2.19","1.02","0.09","0.24","0.12","0.03","0","0","0.01","0",""
" ","Andrew Miller","CLE","RP","CWS","0.45","0.75","0.03","0.08","2.00","0.87","0.1","0.3","0.09","0.04","0","0","0.02","0",""
" ","Anibal Sanchez","DET","SP,RP","MIN","0.56","0.5","0.02","0","4.97","1.36","0.31","0.56","0.2","0.07","0","0","0.02","0",""
" ","Antonio Bastardo","PIT","RP","@BOS","0.35","0.38","0.01","0","5.72","1.49","0.22","0.35","0.17","0.05","0","0","0.01","0",""
" ","Aroldis Chapman","NYY","RP","TB","0.43","0.75","0.02","0.24","2.32","1.00","0.11","0.27","0.16","0.05","0","0","0.02","0",""
" ","Blake Wood","CIN","RP","MIL","0.35","0.41","0.01","0","3.69","1.32","0.14","0.31","0.15","0.04","0","0","0.01","0",""
" ","Boone Logan","CLE","RP","CWS","0.26","0.34","0.01","0","3.84","1.25","0.11","0.22","0.1","0.04","0","0","0.01","0",""
" ","Brad Ziegler","MIA","RP","NYM","0.38","0.3","0.02","0.02","3.19","1.30","0.13","0.35","0.14","0.03","0","0","0.02","0",""
" ","Brett Anderson","CHC","SP","LAD","5","3.42","0.4","0","4.04","1.38","2.24","5.16","1.76","0.58","0","0","0.2","0",""
" ","Bronson Arroyo","CIN","SP","MIL","5","3.87","0.2","0","4.79","1.33","2.66","5.16","1.46","1.2","0","0","0.4","0",""
" ","Bud Norris","LAA","SP,RP","TEX","0.12","0.12","0","0","3.98","1.32","0.05","0.11","0.04","0","0","0","0","0",""
" ","Chris Young","KC","SP,RP","OAK","0.54","0.47","0.02","0","4.87","1.42","0.29","0.53","0.24","0.09","0","0","0.02","0",""
" ","Colby Lewis","TEX","SP","@LAA","0.87","0.54","0.03","0","4.14","1.27","0.4","0.88","0.22","0.16","0","0","0.07","0",""
" ","Craig Bres","MIN","RP","@DET","0.23","0.17","0.01","0","4.38","1.47","0.11","0.25","0.08","0.04","0","0","0.01","0",""
" ","Craig Kimbrel","BOS","RP","PIT","0.38","0.5","0.01","0.24","3.07","1.20","0.13","0.28","0.17","0.03","0","0","0.01","0",""
" ","Daniel Hudson","PIT","RP","@BOS","0.4","0.4","0.02","0.02","4.28","1.43","0.19","0.44","0.13","0.04","0","0","0.02","0",""
" ","Darren O'Day","BAL","RP","@TOR","0.38","0.41","0.02","0.02","4.03","1.29","0.17","0.33","0.16","0.06","0","0","0.02","0",""
" ","David Robertson","CWS","RP","@CLE","0.4","0.51","0.02","0.22","3.62","1.28","0.16","0.35","0.16","0.05","0","0","0.02","0",""
" ","Drew Storen","CIN","RP","MIL","0.36","0.4","0.02","0.03","3.92","1.32","0.16","0.35","0.12","0.05","0","0","0.02","0",""
" ","Dustin McGowan","MIA","RP","NYM","0.31","0.29","0.01","0","3.73","1.39","0.13","0.26","0.17","0.03","0","0","0.01","0",""
" ","Fernando Salas","NYM","RP","@MIA","0.36","0.32","0.01","0","3.62","1.22","0.14","0.34","0.1","0.03","0","0","0.01","0",""
" ","Francisco Liriano","TOR","SP","BAL","6.46","6.51","0.4","0","4.32","1.34","3.1","5.9","2.78","1.07","0","0","0.25","0",""
" ","Francisco Rodriguez","DET","RP","MIN","0.4","0.38","0.02","0.22","3.65","1.20","0.16","0.36","0.12","0.06","0","0","0.02","0",""
" ","Greg Holland","COL","RP","@SF","0.34","0.42","0.01","0.16","2.35","1.14","0.09","0.23","0.16","0.02","0","0","0.01","0",""
" ","Jake McGee","COL","RP","@SF","0.34","0.36","0.01","0.01","2.73","1.15","0.1","0.28","0.11","0.03","0","0","0.01","0",""
" ","Jason Vargas","KC","SP","OAK","4.25","3.29","0.17","0","4.35","1.33","2.06","4.32","1.31","0.65","0","0","0.34","0",""
" ","Jeremy Jeffress","TEX","RP","@LAA","0.38","0.27","0.02","0.02","3.34","1.34","0.14","0.37","0.14","0.03","0","0","0.02","0",""
" ","Joakim Soria","KC","RP","OAK","0.42","0.43","0.02","0.02","3.65","1.32","0.17","0.38","0.18","0.05","0","0","0.02","0",""
" ","Joe Blanton","LAD","RP","@CHC","0.37","0.35","0.03","0.01","3.93","1.21","0.16","0.34","0.11","0.06","0","0","0.01","0",""
" ","Joe Smith","TOR","RP","BAL","0.32","0.28","0.01","0","3.75","1.27","0.13","0.31","0.1","0.05","0","0","0.01","0",""
" ","Jordan Lyles","COL","SP,RP","@SF","0.25","0.19","0.01","0","4.08","1.40","0.11","0.24","0.1","0.02","0","0","0.01","0",""
