"VBR","Player","Team","Positions","Opp","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","Own"
" ","A.J. Ellis","MIA","C","@WSH","0.66","0.08","0.01","0.06","0",".275",".356","0.18","0.03","0","0.08","0.14",""
" ","Aaron Cunningham","CHC","LF","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Aaron Hill","SF","2B,3B","@ARI","0.09","0.01","0","0.01","0",".273",".366","0.02","0","0","0.01","0.01",""
" ","Adam Lind","WSH","1B","MIA","0.68","0.09","0.02","0.12","0",".250",".312","0.17","0.04","0","0.06","0.14",""
" ","Adam Rosales","OAK","2B,3B,SS","LAA","3.38","0.54","0.14","0.52","0.06",".215",".305","0.73","0.14","0.03","0.41","1.2",""
" ","Adrian Gonzalez","LAD","1B","SD","3.38","0.37","0.18","0.48","0",".310",".367","1.05","0.16","0","0.3","0.62",""
" ","Albert Pujols","LAA","1B,DH","@OAK","3.68","0.36","0.14","0.57","0.03",".221",".294","0.81","0.14","0","0.37","0.5",""
" ","Alcides Escobar","KC","SS","@MIN","3.33","0.25","0.03","0.23","0.11",".283",".320","0.94","0.15","0.02","0.16","0.43",""
" ","Alejandro De Aza","OAK","LF,CF,RF","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Alex Avila","DET","C","@CWS","0.63","0.06","0.02","0.05","0",".211",".328","0.13","0.03","0","0.11","0.24",""
" ","Alex Gordon","KC","LF","@MIN","4.01","0.7","0.16","0.38","0.07",".222",".329","0.89","0.15","0.02","0.56","1.42",""
" ","Alexi Casilla","TOR","2B","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Andre Ethier","LAD","LF","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Andres Blanco","PHI","1B,2B,3B,SS","@CIN","0.69","0.1","0.02","0.09","0.01",".242",".306","0.17","0.05","0","0.06","0.13",""
" ","Andy LaRoche","TOR","3B,SS","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Angel Sanchez","CWS","2B,SS","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Asdrubal Cabrera","NYM","SS","ATL","3.63","0.31","0.07","0.33","0.07",".295",".356","1.07","0.15","0.02","0.32","0.77",""
" ","Ben Revere","LAA","LF,CF","@OAK","3.8","0.35","0.01","0.24","0.15",".204",".249","0.77","0.1","0.05","0.22","0.48",""
" ","Ben Zobrist","CHC","2B,LF,RF","@STL","3.48","0.64","0.11","0.56","0.04",".285",".396","0.99","0.17","0.02","0.63","0.41",""
" ","Bobby Wilson","LAD","C","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brad Davis","DET","C","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Allen","CIN","1B,LF","PHI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Belt","SF","1B","@ARI","3.57","0.54","0.15","0.55","0.02",".230",".327","0.82","0.17","0.07","0.5","1.11",""
" ","Brandon Phillips","ATL","2B","@NYM","3.75","0.37","0.06","0.4","0.05",".240",".275","0.9","0.14","0.01","0.15","0.52",""
" ","Brayan Pena","KC","C","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brendan Ryan","DET","SS","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brian McCann","HOU","C,DH","SEA","3.56","0.41","0.18","0.58","0.01",".195",".286","0.69","0.09","0.01","0.41","0.91",""
" ","Brooks Conrad","KC","2B,1B","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Bryan Anderson","OAK","C","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Buster Posey","SF","C,1B","@ARI","3.74","0.66","0.11","0.45","0.03",".282",".383","1.05","0.22","0.03","0.61","0.67",""
" ","Cameron Maybin","LAA","CF","@OAK","0.68","0.11","0.01","0.09","0.03",".321",".368","0.22","0.03","0.01","0.05","0.11",""
" ","Carlos Beltran","HOU","RF,DH","SEA","3.67","0.55","0.2","0.65","0.01",".256",".310","0.94","0.23","0.01","0.28","0.85",""
" ","Carlos Gonzalez","COL","RF","@MIL","4.14","0.68","0.46","0.55","0.02",".308",".361","1.28","0.21","0.02","0.35","0.86",""
" ","Carlos Ruiz","SEA","C","@HOU","0.09","0.01","0","0.01","0",".241",".312","0.02","0","0","0.01","0.02",""
" ","Casey Kotchman","TOR","1B","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Casey McGehee","DET","3B","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Cedric Hunter","PHI","LF,CF","@CIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chase Utley","LAD","2B","SD","3.22","0.5","0.12","0.32","0.02",".278",".335","0.89","0.15","0.02","0.23","0.46",""
" ","Chris Coghlan","TOR","2B,3B,LF,RF","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chris Heisey","WSH","LF,RF","MIA","0.68","0.06","0.02","0.07","0.01",".176",".282","0.12","0.02","0","0.09","0.2",""
" ","Chris Iannetta","ARI","C","SF","0.09","0.01","0","0.01","0",".195",".265","0.02","0","0","0.01","0.02",""
" ","Chris Nelson","COL","3B","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chris Snyder","WSH","C","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Cliff Pennington","LAA","2B,SS","@OAK","3.64","0.47","0.05","0.38","0.05",".271",".346","0.99","0.16","0.08","0.41","0.9",""
" ","Colby Rasmus","TB","LF,CF,RF","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Curtis Granderson","NYM","LF,CF,RF","ATL","3.65","0.3","0.1","0.32","0.04",".210",".271","0.77","0.09","0.05","0.27","1.33",""
" ","Dan Johnson","TB","1B","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Daniel Descalso","ARI","1B,2B,SS,LF","SF","0.09","0.01","0","0.01","0",".254",".324","0.02","0.01","0","0.01","0.01",""
" ","Daniel Murphy","WSH","1B,2B","MIA","3.72","0.62","0.1","0.71","0.03",".379",".423","1.41","0.49","0.02","0.28","0.34",""
" ","Daniel Nava","PHI","LF","@CIN","3.87","0.39","0.09","0.46","0.02",".227",".297","0.88","0.12","0","0.3","0.91",""
" ","Danny Espinosa","LAA","SS","@OAK","0.68","0.08","0.02","0.08","0.01",".208",".298","0.14","0.02","0","0.07","0.18",""
" ","Danny Valencia","SEA","1B,3B,RF","@HOU","3.45","0.63","0.16","0.4","0.01",".308",".353","1.06","0.14","0.02","0.24","0.85",""
" ","Darnell McDonald","CHC","LF,RF","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Darwin Barney","TOR","2B,3B,SS","@TB","0.09","0.01","0","0.01","0",".315",".370","0.03","0","0","0.01","0.02",""
" ","David Wright","NYM","3B","ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dee Gordon","MIA","2B","@WSH","4","0.53","0.02","0.32","0.23",".330",".364","1.32","0.13","0.03","0.21","0.85",""
" ","Denard Span","SF","CF","@ARI","3.5","0.31","0.04","0.28","0.08",".214",".266","0.75","0.14","0.05","0.24","0.62",""
" ","Desmond Jennings","NYM","LF,CF","ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dexter Fowler","STL","CF","CHC","3.92","0.54","0.09","0.44","0.09",".244",".345","0.96","0.29","0.06","0.57","1.33",""
" ","Domonic Brown","COL","RF,LF","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Don Kelly","MIA","1B","@WSH","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Drew Butera","KC","C","@MIN","0.7","0.08","0.02","0.09","0",".232",".304","0.16","0.05","0","0.07","0.11",""
" ","Drew Stubbs","MIN","LF,CF,RF","KC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dusty Brown","OAK","C","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eduardo Nunez","SF","3B,SS","@ARI","3.71","0.59","0.11","0.53","0.21",".319",".354","1.18","0.19","0.06","0.19","0.69",""
" ","Emilio Bonifacio","ATL","LF","@NYM","0.09","0.01","0","0.01","0.01",".284",".322","0.03","0.01","0","0.01","0.02",""
" ","Emmanuel Burriss","WSH","2B","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Hosmer","KC","1B","@MIN","3.41","0.56","0.13","0.5","0.04",".336",".404","1.15","0.2","0.01","0.39","0.67",""
" ","Eric Patterson","CWS","LF,CF","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Sogard","MIL","2B","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Thames","MIL","LF,RF","COL","4.05","0.66","0.25","0.69","0.09",".271",".345","1.1","0.23","0.02","0.41","1.14",""
" ","Eric Young","LAA","CF,DH","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Erick Aybar","SD","3B,SS","@LAD","3.06","0.22","0.03","0.2","0.05",".234",".295","0.72","0.13","0.01","0.24","0.5",""
" ","Evan Longoria","TB","3B","TOR","3.99","0.36","0.16","0.69","0.02",".284",".323","1.13","0.33","0.02","0.22","0.87",""
" ","Everth Cabrera","CWS","SS","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Franklin Gutierrez","LAD","LF,RF","SD","0.68","0.08","0.05","0.08","0.01",".257",".301","0.17","0.03","0","0.04","0.19",""
" ","Freddie Freeman","ATL","1B","@NYM","3.61","0.62","0.2","0.44","0.06",".304",".379","1.1","0.33","0.03","0.4","0.89",""
" ","Gaby Sanchez","SEA","1B","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","George Kottaras","ATL","C","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Geovany Soto","CWS","C","DET","3.68","0.78","0.39","0.53","0.01",".314",".349","1.16","0.26","0","0.19","0.67",""
" ","Gerardo Parra","COL","1B,LF,CF,RF","@MIL","3.56","0.43","0.17","0.37","0.05",".215",".245","0.77","0.2","0.01","0.13","0.65",""
" ","Greg Golson","MIL","RF,LF","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Greg Halman","SEA","LF,RF","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
