"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Own"
" ","Adam Ottavino","COL","RP","LAD","0.32","0.38","0.01","0.06","4.11","1.39","0.15","0.3","0.14","0.05","0","0","0.01","0",""
" ","Andrew Bailey","LAA","RP","SEA","0.32","0.3","0.01","0.04","3.94","1.27","0.14","0.29","0.12","0.04","0","0","0.01","0",""
" ","Andrew Miller","CLE","RP","@ARI","0.43","0.68","0.03","0.08","2.05","0.88","0.1","0.28","0.1","0.04","0","0","0.02","0",""
" ","Anibal Sanchez","DET","SP,RP","BOS","0.66","0.56","0.03","0","4.89","1.36","0.36","0.69","0.21","0.09","0","0","0.03","0",""
" ","Antonio Bastardo","PIT","RP","ATL","0.35","0.38","0.01","0","4.05","1.30","0.16","0.29","0.16","0.04","0","0","0.01","0",""
" ","Aroldis Chapman","NYY","RP","@BAL","0.41","0.67","0.02","0.23","2.49","1.06","0.11","0.28","0.16","0.05","0","0","0.02","0",""
" ","Blake Wood","CIN","RP","@STL","0.34","0.35","0.01","0","3.74","1.38","0.14","0.31","0.16","0.02","0","0","0.01","0",""
" ","Boone Logan","CLE","RP","@ARI","0.26","0.31","0.01","0","3.78","1.27","0.11","0.22","0.11","0.03","0","0","0.01","0",""
" ","Brad Ziegler","MIA","RP","@NYM","0.37","0.3","0.01","0.01","2.79","1.23","0.11","0.31","0.14","0.04","0","0","0.01","0",""
" ","Brett Cecil","STL","RP","CIN","0.29","0.4","0.02","0","3.69","1.23","0.12","0.26","0.1","0.04","0","0","0.01","0",""
" ","Bud Norris","LAA","SP,RP","SEA","0.28","0.24","0.01","0","4.38","1.65","0.14","0.29","0.1","0.09","0","0","0.02","0",""
" ","CC Sabathia","NYY","SP","@BAL","6.4","5.39","0.26","0","4.40","1.35","3.13","6.62","2.04","0.93","0","0","0.51","0",""
" ","Chaz Roe","ATL","RP","@PIT","0.28","0.29","0.01","0","3.60","1.70","0.11","0.27","0.12","0.02","0","0","0.01","0",""
