"VBR","Player","Team","Positions","Opp","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","Own"
" ","A.J. Ellis","MIA","C","@WSH","0.09","0.01","0","0.01","0",".259",".338","0.02","0","0","0.01","0.01",""
" ","Aaron Hill","SF","2B,3B","@ARI","0.09","0.01","0","0.01","0",".345",".397","0.03","0.01","0","0.01","0.02",""
" ","Adam Jones","BAL","CF","TOR","3.9","0.34","0.18","0.5","0.03",".201",".245","0.78","0.17","0.01","0.19","0.77",""
" ","Adam Lind","WSH","1B","MIA","0.09","0.01","0","0.02","0",".200",".278","0.02","0","0","0.01","0.01",""
" ","Adam Moore","CLE","C","@TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Adam Rosales","OAK","2B,3B,SS","LAA","0.09","0.01","0","0.01","0",".251",".318","0.02","0.01","0","0.01","0.04",""
" ","Adrian Beltre","TEX","3B","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Adrian Gonzalez","LAD","1B","SD","3.65","0.37","0.12","0.52","0",".273",".351","1","0.17","0","0.43","0.89",""
" ","Albert Pujols","LAA","1B,DH","@OAK","3.73","0.37","0.14","0.57","0.03",".222",".295","0.83","0.14","0","0.37","0.5",""
" ","Alcides Escobar","KC","SS","@MIN","3.33","0.33","0.06","0.22","0.12",".200",".228","0.66","0.14","0.02","0.1","0.37",""
" ","Alejandro De Aza","OAK","LF,CF,RF","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Alex Gordon","KC","LF","@MIN","4.01","0.47","0.12","0.46","0.05",".249",".351","1","0.1","0.02","0.57","1.23",""
" ","Alexi Casilla","TOR","2B","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Allen Craig","BOS","1B,LF,RF","PIT","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Andre Ethier","LAD","LF","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Andres Blanco","PHI","1B,2B,3B,SS","@CIN","0.09","0.01","0","0.01","0",".191",".282","0.02","0","0","0.01","0.02",""
" ","Andrew McCutchen","PIT","CF","@BOS","3.7","0.36","0.17","0.53","0.05",".248",".310","0.92","0.13","0.01","0.29","1.26",""
" ","Andy LaRoche","TOR","3B,SS","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Asdrubal Cabrera","NYM","SS","ATL","3.63","0.26","0.11","0.35","0.04",".267",".313","0.97","0.24","0.02","0.22","0.65",""
" ","Austin Jackson","CLE","CF","@TEX","0.09","0.01","0","0.01","0",".193",".282","0.02","0","0","0.01","0.03",""
" ","Austin Romine","NYY","C","@TB","0.09","0.01","0","0.02","0",".225",".269","0.02","0.01","0","0.01","0.02",""
" ","Ben Revere","LAA","LF,CF","@OAK","0.1","0.01","0","0.01","0",".194",".237","0.02","0","0","0.01","0.01",""
" ","Bobby Wilson","LAD","C","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Allen","CIN","1B,LF","PHI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Belt","SF","1B","@ARI","3.57","0.5","0.24","0.52","0.04",".273",".364","0.97","0.23","0.03","0.5","1.03",""
" ","Brandon Phillips","ATL","2B","@NYM","3.75","0.35","0.06","0.4","0.05",".234",".269","0.88","0.14","0.01","0.15","0.69",""
" ","Brayan Pena","KC","C","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brent Lillibridge","TEX","2B,3B,SS","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brett Gardner","NYY","LF","@TB","3.87","0.72","0.1","0.31","0.13",".247",".344","0.95","0.19","0.04","0.55","0.7",""
" ","Brett Hayes","TEX","C","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brian McCann","HOU","C,DH","SEA","3.56","0.41","0.18","0.58","0.01",".195",".286","0.69","0.09","0.01","0.41","0.91",""
" ","Brooks Conrad","KC","2B,1B","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Bryan Anderson","OAK","C","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Buster Posey","SF","C,1B","@ARI","3.74","0.53","0.13","0.56","0.04",".353",".392","1.32","0.24","0.02","0.24","0.55",""
" ","Cameron Maybin","LAA","CF","@OAK","3.69","0.61","0.06","0.47","0.16",".319",".365","1.18","0.18","0.04","0.26","0.59",""
" ","Carlos Beltran","HOU","RF,DH","SEA","3.67","0.55","0.2","0.66","0.01",".257",".310","0.94","0.23","0.01","0.28","0.85",""
" ","Carlos Gomez","TEX","LF,CF,RF","CLE","3.63","0.29","0.07","0.35","0.08",".167",".250","0.61","0.14","0.01","0.35","1.71",""
" ","Carlos Gonzalez","COL","RF","@MIL","3.91","0.66","0.3","0.52","0.02",".401",".436","1.57","0.22","0.02","0.25","0.6",""
" ","Carlos Ruiz","SEA","C","@HOU","0.09","0.01","0","0.01","0",".241",".312","0.02","0","0","0.01","0.02",""
" ","Carlos Santana","CLE","1B,DH","@TEX","3.61","0.35","0.17","0.46","0.07",".238",".351","0.86","0.09","0.02","0.63","0.66",""
" ","Casey Kotchman","TOR","1B","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Cedric Hunter","PHI","LF,CF","@CIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chase Headley","NYY","3B","@TB","3.47","0.36","0.08","0.31","0.05",".259",".341","0.9","0.16","0.01","0.4","0.92",""
" ","Chase Utley","LAD","2B","SD","0.09","0.01","0","0.01","0",".254",".330","0.02","0","0","0.01","0.02",""
" ","Chris Young","BOS","LF","PIT","0.09","0.01","0","0.01","0",".253",".319","0.02","0.01","0","0.01","0.03",""
" ","Chris Carter","NYY","1B","@TB","0.09","0.01","0.01","0.01","0",".213",".287","0.02","0","0","0.01","0.04",""
" ","Chris Coghlan","TOR","2B,3B,LF,RF","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chris Davis","BAL","1B","TOR","3.61","0.43","0.18","0.76","0.01",".199",".307","0.72","0.12","0","0.53","0.87",""
" ","Chris Dickerson","BAL","LF,RF,DH","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chris Heisey","WSH","LF,RF","MIA","0.09","0.01","0","0.01","0",".187",".265","0.02","0","0","0.01","0.04",""
" ","Chris Iannetta","ARI","C","SF","0.09","0.01","0","0.01","0",".253",".357","0.02","0","0","0.01","0.02",""
" ","Chris Johnson","BAL","1B,3B","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chris Nelson","COL","3B","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chris Snyder","WSH","C","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Cliff Pennington","LAA","2B,SS","@OAK","0.09","0.01","0","0.01","0",".274",".349","0.02","0","0","0.01","0.02",""
" ","Colby Rasmus","TB","LF,CF,RF","NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Craig Gentry","BAL","LF","TOR","0.09","0.01","0","0.01","0",".176",".244","0.02","0","0","0.01","0.01",""
" ","Curtis Granderson","NYM","LF,CF,RF","ATL","3.65","0.39","0.22","0.33","0.03",".237",".318","0.86","0.19","0.03","0.4","0.73",""
" ","Dan Johnson","TB","1B","NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Daniel Descalso","ARI","1B,2B,SS,LF","SF","0.09","0.01","0","0.01","0",".235",".296","0.02","0","0","0.01","0.02",""
" ","Daniel Murphy","WSH","1B,2B","MIA","3.95","0.66","0.13","0.76","0.06",".278",".340","1.1","0.23","0.02","0.35","0.29",""
" ","Daniel Nava","PHI","LF","@CIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Danny Espinosa","LAA","SS","@OAK","3.41","0.42","0.12","0.4","0.06",".208",".297","0.71","0.11","0.01","0.36","0.89",""
" ","Danny Valencia","SEA","1B,3B,RF","@HOU","3.45","0.64","0.16","0.4","0.01",".312",".356","1.08","0.14","0.02","0.24","0.85",""
" ","Darin Mastroianni","TEX","CF,RF","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Darwin Barney","TOR","2B,3B,SS","@BAL","0.09","0.01","0","0.01","0",".513",".537","0.05","0","0","0","0.01",""
" ","David Freese","PIT","1B,3B","@BOS","3.59","0.47","0.11","0.38","0",".279",".341","1","0.19","0","0.28","1.46",""
" ","David Wright","NYM","3B","ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dee Gordon","MIA","2B","@WSH","4","0.38","0.01","0.2","0.48",".213",".254","0.85","0.08","0.04","0.21","0.71",""
" ","Denard Span","SF","CF","@ARI","3.5","0.5","0.08","0.33","0.14",".205",".267","0.72","0.11","0.03","0.28","0.66",""
" ","Desmond Jennings","CIN","LF,CF","PHI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Domonic Brown","COL","RF,LF","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Don Kelly","MIA","1B","@WSH","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Drew Butera","KC","C","@MIN","0.7","0.12","0.03","0.08","0",".223",".281","0.16","0.05","0","0.05","0.14",""
" ","Drew Stubbs","MIN","LF,CF,RF","KC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dustin Ackley","NYY","1B,2B,LF,CF,RF","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
